target_id,p_joint,p_1d,p_2d,disagreement_1d,disagreement_2d
8478994,0.10845922,3.992774e-13,1.0,0.10845922,0.89154077
3629330,0.1282394,2.3340838e-06,0.9946546,0.12823705,0.8664152
6381846,0.16079208,3.8025832e-10,0.99396425,0.16079208,0.8331722
7549209,0.18092619,1.0,1.0,0.8190738,0.8190738
9945370,0.09931961,6.350129e-25,0.9999998,0.09931961,0.9006802
8120608,0.056647457,4.4132747e-08,1.0,0.056647412,0.9433525
11444514,0.11011937,4.702967e-10,1.0,0.11011937,0.88988066
8380709,0.23595889,1.2650617e-05,1.0,0.23594624,0.7640411
8956206,0.065737434,4.360363e-06,0.9958619,0.065733075,0.93012446
9718066,0.1501595,1.8941628e-11,0.99999976,0.1501595,0.8498403
12058931,0.111556515,6.3722594e-10,1.0,0.111556515,0.88844347
5474613,0.16716856,0.0031382842,1.0,0.16403027,0.83283144
4645174,0.12299317,7.6435384e-07,1.0,0.122992404,0.8770068
9027909,0.25529292,0.99965173,0.99999833,0.7443588,0.74470544
5966154,0.13576803,3.9754164e-10,1.0,0.13576803,0.86423194
11768142,0.067289926,1.1939574e-06,1.0,0.067288734,0.93271005
5009743,0.14323457,0.00037677865,1.0,0.14285779,0.85676545
9517393,0.1296077,0.98177224,1.0,0.8521645,0.8703923
6103377,0.056832682,1.2178126e-06,1.0,0.056831464,0.9431673
8247638,0.06586941,4.9583142e-24,0.99999917,0.06586941,0.9341298
8866137,0.10653538,9.4105496e-14,0.72647774,0.10653538,0.61994237
9662811,0.14060794,2.9883204e-11,1.0,0.14060794,0.85939205
12314973,0.08791461,9.45999e-13,1.0,0.08791461,0.9120854
9818462,0.11650832,7.91747e-17,1.0,0.11650832,0.8834917
5972334,0.05647331,5.028872e-16,0.999995,0.05647331,0.9435217
6185331,0.1357508,0.008393036,1.0,0.12735777,0.8642492
6105462,0.15962052,2.5475113e-06,1.0,0.15961798,0.8403795
8802693,0.06354962,1.0230834e-05,1.0,0.06353939,0.93645036
9605514,0.12857641,4.3226974e-05,0.9999996,0.12853318,0.8714232
4544907,0.19559087,1.0,1.0,0.80440915,0.80440915
11657614,0.10767899,0.0003787271,0.99999976,0.10730026,0.89232075
6803855,0.2415992,0.0023336702,0.9991473,0.23926553,0.7575481
7033233,0.10215755,1.1097231e-08,0.9969313,0.10215754,0.8947738
11614617,0.2055762,0.015609886,0.99999976,0.1899663,0.7944236
6941084,0.17770548,1.0568274e-22,0.9999988,0.17770548,0.82229334
8890783,0.0421744,2.4628535e-09,1.0,0.042174395,0.9578256
6191521,0.11810593,3.9894194e-06,1.0,0.11810195,0.88189405
9597345,0.24805827,0.0033878086,1.0,0.24467047,0.75194174
11860395,0.19523035,6.4856886e-07,1.0,0.1952297,0.80476964
12403119,0.116322115,6.785576e-14,1.0,0.116322115,0.8836779
3656121,0.12753646,4.961402e-15,1.0,0.12753646,0.8724635
9015738,0.0998851,2.987977e-08,1.0,0.09988507,0.9001149
8280511,0.22584137,8.0741036e-10,0.99999994,0.22584137,0.7741586
5374403,0.14882162,1.1778935e-05,0.9999994,0.14880985,0.8511778
9884104,0.08628647,1.2445773e-07,1.0,0.08628634,0.9137135
5792202,0.053800907,6.475222e-06,1.0,0.053794432,0.9461991
6922710,0.050843854,1.8232679e-10,1.0,0.050843854,0.94915617
6615511,0.2335605,0.0005243624,0.99999976,0.23303615,0.76643926
5128673,0.1110051,0.0028105916,1.0,0.10819451,0.88899493
11497958,0.14928421,1.1273872e-07,1.0,0.1492841,0.85071576
