kepid,kepoi_name,koi_disposition
8972058,K00159.01,CONFIRMED
7832356,K01456.01,CONFIRMED
9643874,K01457.01,CONFIRMED
8800954,K01274.01,CONFIRMED
8583696,K01275.01,CONFIRMED
8804283,K01276.01,CONFIRMED
8804283,K01276.02,CONFIRMED
4155328,K01335.01,CONFIRMED
4077526,K01336.01,CONFIRMED
4077526,K01336.02,CONFIRMED
4077526,K01336.03,CONFIRMED
4077526,K01336.04,CONFIRMED
8935810,K01395.01,CONFIRMED
2441495,K00166.01,CONFIRMED
9455556,K01396.01,CONFIRMED
9455556,K01396.02,CONFIRMED
3732821,K01207.01,CONFIRMED
3962357,K01210.01,CONFIRMED
8394721,K00152.04,CONFIRMED
8609450,K01278.01,CONFIRMED
6541920,K00157.01,CONFIRMED
8609450,K01278.02,CONFIRMED
8609450,K01278.03,CONFIRMED
8609450,K01278.04,CONFIRMED
4243911,K01337.01,CONFIRMED
4466677,K01338.01,CONFIRMED
4135665,K01339.01,CONFIRMED
9269281,K01398.01,CONFIRMED
9034103,K01402.01,CONFIRMED
9214942,K01403.01,CONFIRMED
3749134,K01212.01,CONFIRMED
3660924,K01214.01,CONFIRMED
3939150,K01215.01,CONFIRMED
8628758,K01279.01,CONFIRMED
8628758,K01279.02,CONFIRMED
8742590,K01281.01,CONFIRMED
8822366,K01282.01,CONFIRMED
8972058,K00159.02,CONFIRMED
4650674,K01341.01,CONFIRMED
4275721,K01342.01,CONFIRMED
4275721,K01342.02,CONFIRMED
8874090,K01404.01,CONFIRMED
11666881,K00167.01,CONFIRMED
9264949,K01405.01,CONFIRMED
9271752,K01406.01,CONFIRMED
9150827,K01408.01,CONFIRMED
3939150,K01215.02,CONFIRMED
3839488,K01216.01,CONFIRMED
3442055,K01218.01,CONFIRMED
12252424,K00153.01,CONFIRMED
8700771,K01283.01,CONFIRMED
6541920,K00157.02,CONFIRMED
4136466,K01344.01,CONFIRMED
9391208,K01409.01,CONFIRMED
9391506,K01410.01,CONFIRMED
