kepid,kepoi_name,koi_disposition
6696462,K01693.01,FALSE POSITIVE
7222086,K01701.01,FALSE POSITIVE
9842890,K01479.01,FALSE POSITIVE
8113154,K01542.01,FALSE POSITIVE
5270698,K01543.01,FALSE POSITIVE
5024450,K01544.01,FALSE POSITIVE
5282049,K01545.01,FALSE POSITIVE
7812167,K01482.01,FALSE POSITIVE
11760959,K01484.01,FALSE POSITIVE
9940565,K01548.01,FALSE POSITIVE
8111381,K01550.01,FALSE POSITIVE
5444549,K01551.01,FALSE POSITIVE
4860932,K01600.01,FALSE POSITIVE
9692345,K01485.01,FALSE POSITIVE
12062667,K01487.01,FALSE POSITIVE
9899355,K01554.01,FALSE POSITIVE
12644774,K01555.01,FALSE POSITIVE
9902856,K01556.01,FALSE POSITIVE
7697568,K01829.01,FALSE POSITIVE
9164836,K00213.01,FALSE POSITIVE
10019708,K00199.02,FALSE POSITIVE
4743513,K00024.01,FALSE POSITIVE
5809954,K01902.01,FALSE POSITIVE
12508335,K00215.01,FALSE POSITIVE
5108214,K01924.01,FALSE POSITIVE
7219761,K01927.01,FALSE POSITIVE
9851271,K02003.01,FALSE POSITIVE
3128793,K01786.01,FALSE POSITIVE
8098728,K02008.01,FALSE POSITIVE
6153672,K01794.01,FALSE POSITIVE
6707908,K02014.01,FALSE POSITIVE
6867766,K01798.01,FALSE POSITIVE
6058614,K01799.01,FALSE POSITIVE
5396122,K01935.01,FALSE POSITIVE
5213902,K01941.01,FALSE POSITIVE
8164262,K01810.01,FALSE POSITIVE
6279974,K01812.01,FALSE POSITIVE
9071386,K00023.01,FALSE POSITIVE
2438513,K01944.02,FALSE POSITIVE
9536692,K01948.01,FALSE POSITIVE
9838975,K00218.01,FALSE POSITIVE
10666242,K00198.01,FALSE POSITIVE
6142862,K02336.01,FALSE POSITIVE
10232693,K02341.01,FALSE POSITIVE
4043443,K00231.01,FALSE POSITIVE
3337432,K02265.01,FALSE POSITIVE
11774303,K02269.01,FALSE POSITIVE
7515670,K02360.01,FALSE POSITIVE
5547480,K00224.01,FALSE POSITIVE
7019489,K02128.01,FALSE POSITIVE
2141783,K02201.01,FALSE POSITIVE
10206675,K02283.01,FALSE POSITIVE
3832716,K00027.01,FALSE POSITIVE
8453211,K00236.01,FALSE POSITIVE
5801571,K00225.01,FALSE POSITIVE
5288570,K02136.01,FALSE POSITIVE
7050060,K02215.01,FALSE POSITIVE
10593759,K00025.01,FALSE POSITIVE
6666233,K02306.01,FALSE POSITIVE
7661065,K02307.01,FALSE POSITIVE
7989422,K02151.01,FALSE POSITIVE
10801100,K02228.01,FALSE POSITIVE
8914779,K02230.01,FALSE POSITIVE
8963721,K02233.01,FALSE POSITIVE
8804455,K02159.02,FALSE POSITIVE
5023956,K00233.01,FALSE POSITIVE
5021737,K00026.01,FALSE POSITIVE
3862246,K00230.01,FALSE POSITIVE
10925113,K02557.01,FALSE POSITIVE
11769801,K02633.01,FALSE POSITIVE
8676038,K02410.01,FALSE POSITIVE
8676038,K02410.02,FALSE POSITIVE
10419312,K02412.01,FALSE POSITIVE
6956014,K00031.01,FALSE POSITIVE
5307858,K02558.01,FALSE POSITIVE
10415227,K02562.01,FALSE POSITIVE
12216278,K02565.01,FALSE POSITIVE
9159242,K02566.01,FALSE POSITIVE
12061096,K02642.01,FALSE POSITIVE
9993529,K02644.01,FALSE POSITIVE
11303815,K02645.01,FALSE POSITIVE
6044553,K02646.01,FALSE POSITIVE
5212220,K02495.01,FALSE POSITIVE
9964748,K02496.01,FALSE POSITIVE
9842937,K02567.01,FALSE POSITIVE
2573056,K02648.01,FALSE POSITIVE
11922678,K02425.01,FALSE POSITIVE
5544903,K02499.01,FALSE POSITIVE
5542983,K02501.01,FALSE POSITIVE
8256453,K02573.01,FALSE POSITIVE
9474493,K02574.01,FALSE POSITIVE
4551663,K02576.01,FALSE POSITIVE
11752908,K02651.01,FALSE POSITIVE
10189557,K02427.01,FALSE POSITIVE
9965184,K02428.01,FALSE POSITIVE
9911882,K02429.01,FALSE POSITIVE
5471574,K02505.01,FALSE POSITIVE
11761199,K02669.01,FALSE POSITIVE
8074805,K02670.01,FALSE POSITIVE
2437505,K02671.02,FALSE POSITIVE
3533469,K02430.01,FALSE POSITIVE
