target_id,true_label_str,period,mean_confidence,max_disagreement,prob_1d,prob_2d
tess2022190063128,confirmed_planet,,0.5694184,1.37258380651474,1.0,0.0
tess2024003055635,confirmed_planet,,0.5963538,1.0918989926576614,1.0,0.05040431022644043
tess2024003055635,confirmed_planet,,0.4866999,1.2107962667942047,1.0,0.0
tess2024196212429,confirmed_planet,,0.60603166,1.3870497643947601,1.0,0.0
tess2024003055635,confirmed_planet,,0.47663444,1.165603682398796,1.0,0.0
tess2024196212429,confirmed_planet,,0.6182221,1.3287215530872345,1.0,0.0
tess2024196212429,confirmed_planet,,0.6179553,1.1411131769418716,1.0,0.04739874601364136
tess2024003055635,confirmed_planet,,0.5900291,1.404272973537445,1.0,0.0
tess2022190063128,confirmed_planet,,0.32198358,1.3766947388648987,1.0,0.0
tess2024030031500,confirmed_planet,,0.59719867,1.4201722145080566,1.0,0.0
tess2024030031500,confirmed_planet,,0.564669,1.6346703171730042,1.0,0.0
tess2021175071901,confirmed_planet,,0.6053742,1.207609310746193,1.0,0.0015695691108703613
tess2024196212429,confirmed_planet,,0.60376126,1.3575257658958435,1.0,0.0
tess2019226182529,confirmed_planet,,0.55649465,1.2902701497077942,1.0,0.0
tess2024196212429,confirmed_planet,,0.5641286,0.9554660394787788,1.0,0.08639556169509888
tess2024003055635,confirmed_planet,,0.57822126,1.0230592247098684,1.0,0.06669163703918457
tess2024170053053,confirmed_planet,,0.59053546,1.277829647064209,1.0,0.0
tess2024030031500,confirmed_planet,,0.53089833,1.0341629311442375,1.0,0.013816893100738525
tess2024223182411,confirmed_planet,,0.5051602,1.4276014566421509,1.0,0.0
tess2024003055635,confirmed_planet,,0.609326,1.3915044069290161,1.0,0.0
tess2024003055635,confirmed_planet,,0.5843811,1.4493215084075928,1.0,0.0
tess2024196212429,confirmed_planet,,0.5918857,1.2174981385469437,1.0,0.0
tess2024196212429,confirmed_planet,,0.64793456,1.3269523978233337,1.0,0.0
tess2024003055635,confirmed_planet,,0.5591713,1.1765918284654617,1.0,0.0
tess2024196212429,confirmed_planet,,0.59856504,1.1882399916648865,1.0,0.004445016384124756
tess2024196212429,confirmed_planet,,0.60135573,1.3450599014759064,1.0,0.0
tess2022217014003,confirmed_planet,,0.59307104,1.208965465426445,1.0,0.0
tess2021175071901,confirmed_planet,,0.58158565,1.1431719809770584,1.0,0.009999632835388184
tess2024058030222,confirmed_planet,,0.56288874,1.1972025483846664,1.0,0.0
tess2022190063128,confirmed_planet,,0.5706068,1.0713620781898499,1.0,0.03492581844329834
tess2024223182411,confirmed_planet,,0.5929303,1.3770526051521301,1.0,0.0
tess2024003055635,confirmed_planet,,0.5583677,1.0626600831747055,1.0,0.02703768014907837
tess2024170053053,confirmed_planet,,0.5685013,1.2832488715648651,1.0,0.0
tess2024223182411,confirmed_planet,,0.6176431,1.2461049556732178,1.0,0.0
tess2024170053053,confirmed_planet,,0.6028847,1.3087672591209412,1.0,0.0
tess2024170053053,confirmed_planet,,0.56978166,0.9932462866418064,1.0,0.07315853238105774
tess2024223182411,confirmed_planet,,0.5782155,1.2129199802875519,1.0,0.0
tess2024170053053,confirmed_planet,,0.5674068,1.1601163744926453,1.0,0.0
tess2024003055635,confirmed_planet,,0.43249607,1.1051671579480171,0.9850796461105347,0.0
tess2024170053053,confirmed_planet,,0.596583,1.1362417042255402,1.0,0.02846217155456543
tess2024170053053,confirmed_planet,,0.5860181,1.3085055351257324,1.0,0.0
tess2021175071901,confirmed_planet,,0.58003235,1.3278801441192627,1.0,0.0
tess2024170053053,confirmed_planet,,0.5817642,1.2250681817531586,1.0,0.0
tess2024196212429,confirmed_planet,,0.60375386,1.5122540593147278,1.0,0.0
tess2024249191853,confirmed_planet,,0.5977961,1.2381644248962402,1.0,0.0
tess2024170053053,confirmed_planet,,0.58462554,1.1864444315433502,1.0,0.0
tess2024223182411,confirmed_planet,,0.6063155,1.01337231695652,1.0,0.09962934255599976
tess2024249191853,confirmed_planet,,0.4277933,1.2770746052265167,1.0,0.0
tess2024249191853,confirmed_planet,,0.41926134,1.0683968588709831,0.9534597396850586,0.0
tess2024170053053,confirmed_planet,,0.59547704,1.4024310111999512,1.0,0.0
tess2022190063128,confirmed_planet,,0.5797408,1.328646957874298,1.0,0.0
tess2024003055635,confirmed_planet,,0.6191635,1.22624072432518,1.0,0.006043136119842529
tess2024196212429,confirmed_planet,,0.5074786,1.2889889776706696,1.0,0.0
tess2024223182411,confirmed_planet,,0.57561886,1.2984900176525116,1.0,0.0
tess2022190063128,confirmed_planet,,0.46780547,1.2630645632743835,1.0,0.0
tess2024003055635,confirmed_planet,,0.56836677,1.3800834119319916,1.0,0.0
tess2020160202036,confirmed_planet,,0.6069331,1.5119079947471619,1.0,0.0
tess2024249191853,confirmed_planet,,0.59696513,1.1805812418460846,1.0,0.006674528121948242
tess2024003055635,confirmed_planet,,0.57870644,0.9417586140334606,1.0,0.10782712697982788
tess2024223182411,confirmed_planet,,0.60484666,1.2776985168457031,1.0,0.0
tess2024058030222,confirmed_planet,,0.5436837,1.4132716953754425,1.0,0.0
tess2024170053053,confirmed_planet,,0.5782992,1.0521421357989311,1.0,0.05222815275192261
tess2024196212429,confirmed_planet,,0.64467597,1.0796877443790436,1.0,0.10483211278915405
tess2024170053053,confirmed_planet,,0.5737776,1.2109214216470718,1.0,0.0
tess2024003055635,confirmed_planet,,0.57160366,1.1377759873867035,1.0,0.0027156472206115723
tess2024030031500,confirmed_planet,,0.571345,1.246599331498146,1.0,0.0
tess2024003055635,confirmed_planet,,0.5622917,1.2507578432559967,1.0,0.0
tess2024030031500,confirmed_planet,,0.5842771,1.3639474213123322,1.0,0.0
tess2024223182411,confirmed_planet,,0.6175627,1.254182517528534,1.0,0.0
tess2024196212429,confirmed_planet,,0.615282,1.1846694499254227,1.0,0.022947251796722412
tess2024196212429,confirmed_planet,,0.6228678,1.1488048136234283,1.0,0.04846543073654175
tess2024170053053,confirmed_planet,,0.48584875,1.1288929134607315,1.0,0.0
tess2024223182411,confirmed_planet,,0.583317,1.4172039031982422,1.0,0.0
tess2024030031500,confirmed_planet,,0.5707657,1.2897103130817413,1.0,0.0
tess2024003055635,confirmed_planet,,0.54047066,1.300336867570877,1.0,0.0
tess2024196212429,confirmed_planet,,0.5636039,1.1108530908823013,1.0,0.008177340030670166
tess2024030031500,confirmed_planet,,0.5939401,1.377178966999054,1.0,0.0
tess2021204101404,confirmed_planet,,0.5800221,1.2816251814365387,1.0,0.0
tess2022217014003,confirmed_planet,,0.5294154,1.2905343174934387,1.0,0.0
tess2022217014003,confirmed_planet,,0.5140466,1.2976581156253815,1.0,0.0
tess2024003055635,confirmed_planet,,0.5862858,1.4919688701629639,1.0,0.0
tess2024170053053,confirmed_planet,,0.57585204,1.4659970104694366,1.0,0.0
tess2022190063128,confirmed_planet,,0.60012954,1.3806224465370178,1.0,0.0
tess2024030031500,confirmed_planet,,0.595781,1.4603422582149506,1.0,0.0
tess2024003055635,confirmed_planet,,0.5867027,1.2004542648792267,1.0,0.0
tess2024223182411,confirmed_planet,,0.61660916,1.446739286184311,1.0,0.0
tess2024030031500,confirmed_planet,,0.5735411,1.1710887402296066,1.0,0.0
tess2024003055635,confirmed_planet,,0.5749052,1.3687163293361664,1.0,0.0
tess2022244194134,confirmed_planet,,0.57730246,1.1525548547506332,1.0,0.0010250210762023926
tess2024196212429,confirmed_planet,,0.5942075,1.2339647263288498,1.0,0.0
tess2022190063128,confirmed_planet,,0.51840496,1.0664728805422783,1.0,0.0
tess2024003055635,confirmed_planet,,0.5645224,1.4458065629005432,1.0,0.0
tess2024223182411,confirmed_planet,,0.56037694,1.2879861891269684,1.0,0.0
tess2021204101404,confirmed_planet,,0.5863188,1.1352731138467789,1.0,0.018682241439819336
tess2022190063128,confirmed_planet,,0.61449564,1.3134922087192535,1.0,0.0
tess2024196212429,confirmed_planet,,0.62017584,1.1607501357793808,1.0,0.03980076313018799
tess2024030031500,confirmed_planet,,0.59516084,1.3688309490680695,1.0,0.0
tess2022217014003,confirmed_planet,,0.5746238,1.0716168135404587,1.0,0.038815438747406006
tess2022190063128,confirmed_planet,,0.55659175,1.1814092695713043,1.0,0.0
tess2024196212429,confirmed_planet,,0.62044907,1.324235737323761,1.0,0.0
tess2024223182411,confirmed_planet,,0.59264547,1.509414553642273,1.0,0.0
tess2024223182411,confirmed_planet,,0.615516,1.2638112008571625,1.0,0.0
tess2024223182411,confirmed_planet,,0.57340604,1.1224441677331924,1.0,0.012183964252471924
tess2024196212429,confirmed_planet,,0.612039,0.9333746060729027,1.0,0.14535173773765564
tess2024223182411,confirmed_planet,,0.5833562,1.0266051478683949,1.0,0.07005363702774048
tess2022164095748,confirmed_planet,,0.5715553,1.1478601843118668,1.0,0.0
tess2021175071901,confirmed_planet,,0.6204316,1.249439850449562,1.0,0.0
tess2024003055635,confirmed_planet,,0.5587051,1.2883541584014893,1.0,0.0
tess2024030031500,confirmed_planet,,0.5443324,1.200904056429863,1.0,0.0
tess2024223182411,confirmed_planet,,0.57224894,1.0885793045163155,1.0,0.02795928716659546
tess2021175071901,confirmed_planet,,0.59636134,0.9362539201974869,1.0,0.1282343864440918
tess2024030031500,confirmed_planet,,0.58182937,1.366830974817276,1.0,0.0
tess2024196212429,confirmed_planet,,0.6135814,1.136931523680687,1.0,0.045115649700164795
tess2021175071901,confirmed_planet,,0.61578333,1.0791425108909607,1.0,0.07621204853057861
tess2024223182411,confirmed_planet,,0.57699543,0.974274268373847,1.0,0.0898582935333252
tess2024030031500,confirmed_planet,,0.578445,1.093014694750309,1.0,0.03193765878677368
tess2024030031500,confirmed_planet,,0.5734938,1.4064519107341766,1.0,0.0
tess2024170053053,confirmed_planet,,0.5208683,1.3417346477508545,1.0,0.0
tess2024223182411,confirmed_planet,,0.57025075,1.1729416102170944,1.0,0.0
tess2021204101404,confirmed_planet,,0.5767919,1.4455032050609589,1.0,0.0
tess2021204101404,confirmed_planet,,0.51386064,1.2509745359420776,1.0,0.0
tess2024196212429,confirmed_planet,,0.61286414,1.276106595993042,1.0,0.0
tess2024058030222,confirmed_planet,,0.5711394,1.0432924181222916,1.0,0.04949319362640381
tess2022190063128,confirmed_planet,,0.56136554,1.3326520025730133,1.0,0.0
tess2024003055635,confirmed_planet,,0.59115994,1.4222811162471771,1.0,0.0
tess2024030031500,confirmed_planet,,0.5680055,1.1921330392360687,1.0,0.0
tess2024223182411,confirmed_planet,,0.5972221,1.4261028170585632,1.0,0.0
tess2024003055635,confirmed_planet,,0.36547112,1.274497240781784,1.0,0.0
tess2022190063128,confirmed_planet,,0.56591195,1.31667959690094,1.0,0.0
tess2024196212429,confirmed_planet,,0.6178591,1.191342070698738,1.0,0.02218806743621826
tess2024170053053,confirmed_planet,,0.59138554,1.333150714635849,1.0,0.0
tess2024196212429,confirmed_planet,,0.67710274,1.2067807614803314,1.0,0.07371234893798828
tess2022164095748,confirmed_planet,,0.5845409,1.4582343697547913,1.0,0.0
tess2024170053053,confirmed_planet,,0.59689325,1.1573723703622818,1.0,0.018207073211669922
tess2021175071901,confirmed_planet,,0.5927634,1.1747645139694214,1.0,0.005381166934967041
tess2024196212429,confirmed_planet,,0.54665095,1.2459271103143692,1.0,0.0
tess2024003055635,confirmed_planet,,0.5574707,1.4478734731674194,1.0,0.0
tess2021175071901,confirmed_planet,,0.6123466,1.027651023119688,1.0,0.09852105379104614
tess2024030031500,confirmed_planet,,0.581792,1.1641797721385956,1.0,0.0
