file,transit_count,period,radius_earth,semi_major_axis_au,equilibrium_temp_k,size_category,period_category
,1,43.05,273.26,,,Super-Jupiter,30-100 days
,1,9.76,372.44,,,Super-Jupiter,3-10 days
,1,69.77,8.5,,,Jupiter-sized,30-100 days
,1,3.96,100.16,,,Super-Jupiter,3-10 days
,1,2.34,162.78,,,Super-Jupiter,<3 days
,1,66.29,4.36,,,Jupiter-sized,30-100 days
,1,11.39,156.55,,,Super-Jupiter,10-30 days
,1,41.12,4.34,,,Jupiter-sized,30-100 days
,1,6.71,112.7,,,Super-Jupiter,3-10 days
,1,18.56,605.27,,,Super-Jupiter,10-30 days
,1,77.93,9.32,,,Jupiter-sized,30-100 days
,1,29.66,5.56,,,Jupiter-sized,10-30 days
,1,1.32,176.25,,,Super-Jupiter,<3 days
,1,11.48,1134.89,,,Super-Jupiter,10-30 days
,1,46.39,8.51,,,Jupiter-sized,30-100 days
,1,89.9,2.62,,,Neptune-sized,30-100 days
,1,4.85,107.75,,,Super-Jupiter,3-10 days
,1,32.11,3.49,,,Neptune-sized,30-100 days
,1,11.09,276.67,,,Super-Jupiter,10-30 days
,1,10.06,495.6,,,Super-Jupiter,10-30 days
,1,51.62,1.83,,,Super-Earth,30-100 days
,1,11.9,305.02,,,Super-Jupiter,10-30 days
,1,4.53,109.92,,,Super-Jupiter,3-10 days
,1,7.61,231.48,,,Super-Jupiter,3-10 days
,1,7.13,98.84,,,Super-Jupiter,3-10 days
,1,12.09,323.13,,,Super-Jupiter,10-30 days
,1,7.67,165.23,,,Super-Jupiter,3-10 days
,1,25.33,8.34,,,Jupiter-sized,10-30 days
,1,2.48,5570.04,,,Super-Jupiter,<3 days
,1,85.1,4.99,,,Jupiter-sized,30-100 days
,1,9.79,293.28,,,Super-Jupiter,3-10 days
,1,6.42,5337.66,,,Super-Jupiter,3-10 days
,1,60.19,7.54,,,Jupiter-sized,30-100 days
,1,3.33,139.75,,,Super-Jupiter,3-10 days
,1,6.27,197.5,,,Super-Jupiter,3-10 days
,1,7.78,209.41,,,Super-Jupiter,3-10 days
,1,51.54,4.82,,,Jupiter-sized,30-100 days
,1,42.54,7.57,,,Jupiter-sized,30-100 days
,1,7.26,174.82,,,Super-Jupiter,3-10 days
,1,7.39,204.63,,,Super-Jupiter,3-10 days
,1,1.22,77.37,,,Super-Jupiter,<3 days
,1,16.29,1053.74,,,Super-Jupiter,10-30 days
,1,23.88,718.84,,,Super-Jupiter,10-30 days
,1,3.88,7.29,,,Jupiter-sized,3-10 days
