target_id,period
90850770,8.000489
38680052,0.6743453
271806353,3.4391152
316937670,0.62425
317089588,12.7846809
212253390,3.0926858
280803917,5.1293855
406318573,5.179282
272236017,2.4156482
425561347,5.7772122
39018923,5.6807412
234330672,3.8300359
348995212,0.3456911
278138619,10.1688722
144440290,
150437346,1.3926549
441420236,8.4536777
306510653,2.2456869
273695332,6.9309657
262880065,13.9631929
388198242,0.5055105
271891552,3.5775562
403135192,0.9017685
405425498,4.2217717
405425498,11.5472009
61733521,3.36296
143410850,4.98668
326453034,14.445918
129432342,1.79217
100504381,5.46278
439444938,11.45959
421455387,2.50876
271491157,2.91615
267093376,17.14012
394722182,3.5315897
389238529,0.49642
231077395,3.3904897
388130235,92.1950921
198178505,
258389327,26.5456672
265460043,32.8236817
142117976,46.5710978
289164482,2.6796164
289164482,1.1188024
272679240,20.1546939
198456933,76.8663962
288516853,
243313296,1.4663344
115623434,3.1434463
77044471,2.6865064
115583726,18.6016754
264171144,210.668358
237211410,12.5520766
198211976,0.4018586
70797900,705.5844658
98494121,3.06555
96973930,3.3243
92562123,6.53144
1990842033,5.41418
1989628303,5.46377
278415929,3.7981107
349786918,2.9663437
376168473,5.41402
179580045,62.1624516
152714791,1.27349
47525799,
264303333,0.8153098
229715760,11.5743561
233066156,12.379649
367855829,85.4244796
233688779,26.4579842
265146266,11.9526103
198485881,35.1896444
219821826,9.6799809
25139786,1.5933772
147425389,3.1856867
325468685,1.8905304
355446093,15.937546
302333151,1.440707
61980227,3.0958985
274599700,
88840705,
349488688,
349488688,11.6207544
402026209,1.3382314
207501148,
138126035,716.3497402
300812741,20.2254946
300812741,11.3071786
219501568,16.5899263
47484268,
232568235,0.3524597
229787062,1.9011452
165530380,1.4937444
159400561,
235943205,121.3342908
310231275,0.8294084
8348911,2.326343
459837008,3.4950422
459837008,2.0344366
459837008,2.2891027
20203297,7.1566025
441798995,1.4206036
441798995,2.8411415
441798995,10.4029111
2760710,
115446313,4.9707023
329148988,27.2672016
237201858,179.4031712
160077104,11.8120707
462615350,8.9172211
82452140,63.39545
120610833,3.1260751
321688498,0.3862197
236934937,9.405877
236934268,7.0767314
71347873,6.0683318
284361752,340.3877311
48018596,60.06632
165554103,139.2632286
233500935,22.048775
229608594,
362220495,165.0031583
160074939,13.340145
280031353,4.8566656
280031353,15.4432661
280031353,
283829553,6.0541622
144000801,1.3103832
197959526,0.7196291
70420766,9.4070515
232079930,0.918902
147284470,2.9905745
270219048,2.6820061
234489976,3.86866
328012209,20.2656358
204376737,3.3610013
38467100,2.9432073
293527670,0.98656
69819610,1.0361758
152800085,4.26991
175456679,58.9970907
177308364,82.7899763
394287035,17.1019622
238920875,6.5346715
415969908,11.6700285
415969908,7.2011383
180991313,2.2088214
168751223,4.7150942
286000547,7.4972297
358579111,14.2197641
200743403,7.9980831
160003961,1.4492052
88902249,7.7119842
230001847,2.994263
24358417,22.6539607
279514271,9.7728388
12423815,2.8392793
29959761,1.6471574
100267480,0.87741
100589632,3.9471567
166834768,3.2553185
311179742,8.3129806
91555165,1.0526157
91555165,42.1289893
317483660,3.3311975
301343785,1.1736318
317019074,1.2043785
405452527,11.5738497
280095254,10.090259
47601197,8.6251769
47601197,4.8714085
290036495,5.2524809
32925763,1.6804461
177079323,5.7517969
219766989,0.5109902
124515764,1.2709769
30947715,3.66275
124206468,7.0924883
124095888,1.1258127
436102447,5.1858
9727392,4.534451
31656385,22.84518
204671232,8.71546
302924206,6.9444047
445456888,5.5436298
39414571,4.0197555
344085117,0.659752
39218269,17.1869882
441159680,5.74984
401125028,5.1750108
220068921,3.36376
98753307,15.3281169
122612091,2.21674
135036669,0.9112206
162802770,4.880964
448589187,3.0652926
152852327,9.1720535
385332171,9.7439744
372818426,1.4436706
349966879,0.3125737
234527228,0.5136096
231833236,4.773751
230980206,3.375591
159951311,5.9242661
453100296,2.229735
29830212,7.3164282
372852036,2.484912
149394317,0.9270535
200805484,2.967599
305048087,5.4361667
347357977,12.6826724
432132155,4.8984239
189620016,1.1792344
332558858,13.3368173
439366538,4.3135917
164150537,6.1600755
326522874,3.1821969
146165619,1.6766686
231063955,3.4972769
201177276,5.4693888
9006668,1.2730965
176220787,5.2153618
39080923,5.0451188
2760219,4.6612025
20897611,3.1353607
184240683,1.6284288
206785987,2.955314
134471108,5.3262922
52689469,3.1413825
124778445,1.6751568
206906112,13.5853506
443127052,2.8972041
393298446,14.9695925
354519019,17.3051476
147430118,1.6951056
143282930,1.5339665
224225541,4.9377227
170103435,1.9785151
124702477,0.7951534
124491883,2.3933087
59842822,2.5577037
317134140,6.3951381
123627908,5.9016526
166851829,4.7277153
231065398,7.7898378
160004025,2.7985528
31634579,8.8759249
147456499,1.2558789
164767175,10.7510107
164767175,6.19132
372817671,5.0183771
144125079,3.6257584
423672208,3.790687
423666115,0.58228
277871306,3.9602774
186936449,2.8456505
170889511,
348684813,7.7517472
192076548,1.1159326
